vector,variant,alpha_db,prompt_id,music_prompt,secret_id,secret,hyp,wer,mcd
A,flat,-24.0,classical,"classical string quartet, baroque style, 80 bpm",0,the quick brown fox jumps over the lazy dog near the river bank,Quick Brown relaxing gyms playing Simple Darwin's Riverbank,0.8461538461538461,23.36640167236328
A,flat,-24.0,classical,"classical string quartet, baroque style, 80 bpm",1,meet at the third corner past the old library at sunset tomorrow,"from belief to the truth. On our Baruchill, we beat the third QueensА Peugeot boy",1.1666666666666667,24.007400512695312
A,flat,-24.0,classical,"classical string quartet, baroque style, 80 bpm",2,the encryption key is alpha bravo seven nine delta echo two zero,encryption keys. examples.,0.9166666666666666,26.951459884643555
A,flat,-30.0,lofi,"lo-fi hip-hop, soft piano, 60 bpm, mellow",0,the quick brown fox jumps over the lazy dog near the river bank,to theим in the,0.9230769230769231,25.633146286010742
A,flat,-30.0,lofi,"lo-fi hip-hop, soft piano, 60 bpm, mellow",1,meet at the third corner past the old library at sunset tomorrow,"the third corner, past the old library sunset tomorrow.",0.25,25.470991134643555
A,flat,-30.0,lofi,"lo-fi hip-hop, soft piano, 60 bpm, mellow",2,the encryption key is alpha bravo seven nine delta echo two zero,So the tuning does follow the link behind the end of the pimkeit.,1.0,27.478652954101562
A,flat,-30.0,ambient,"ambient pad, ethereal, slow, atmospheric",0,the quick brown fox jumps over the lazy dog near the river bank,The quick brown box jumps over the lazy dog in the riverbank.,0.3076923076923077,66.54483032226562
A,flat,-30.0,ambient,"ambient pad, ethereal, slow, atmospheric",1,meet at the third corner past the old library at sunset tomorrow,Meet at the third corner past the old library at sunset tomorrow.,0.0,67.01152038574219
A,flat,-30.0,ambient,"ambient pad, ethereal, slow, atmospheric",2,the encryption key is alpha bravo seven nine delta echo two zero,the encryption key is alphabravo 7.9 Delta Echo 2.0.,0.5,68.20442199707031
A,flat,-30.0,classical,"classical string quartet, baroque style, 80 bpm",0,the quick brown fox jumps over the lazy dog near the river bank,Probably a complete background. I'm not a man. I'm not a man. I'm not a man.,1.2307692307692308,18.416473388671875
A,flat,-30.0,classical,"classical string quartet, baroque style, 80 bpm",1,meet at the third corner past the old library at sunset tomorrow,"Or emo care when you're doing it, you're going to love him. The tristusسم didn't even start to come, right? Should we have a tristto?",2.0,18.585832595825195
A,flat,-30.0,classical,"classical string quartet, baroque style, 80 bpm",2,the encryption key is alpha bravo seven nine delta echo two zero,"your own channel, you've got find thấy der PERK想 Bitcoin li li LOVE� li li",1.25,20.416744232177734
A,bandpass,-18.0,lofi,"lo-fi hip-hop, soft piano, 60 bpm, mellow",0,the quick brown fox jumps over the lazy dog near the river bank,and a quick brown fox jumps over the lazy dog near the riverbank.,0.3076923076923077,48.555904388427734
A,bandpass,-18.0,lofi,"lo-fi hip-hop, soft piano, 60 bpm, mellow",1,meet at the third corner past the old library at sunset tomorrow,Meet at the third corner past the old library and sunset tomorrow.,0.08333333333333333,52.874446868896484
A,bandpass,-18.0,lofi,"lo-fi hip-hop, soft piano, 60 bpm, mellow",2,the encryption key is alpha bravo seven nine delta echo two zero,"encryption key, it also bravo 7.9 delta echo 2.0.",0.5833333333333334,55.92266082763672
A,bandpass,-18.0,ambient,"ambient pad, ethereal, slow, atmospheric",0,the quick brown fox jumps over the lazy dog near the river bank,The quick brown fox jumps over the lazy dog near the riverbank.,0.15384615384615385,91.0101089477539
A,bandpass,-18.0,ambient,"ambient pad, ethereal, slow, atmospheric",1,meet at the third corner past the old library at sunset tomorrow,Meet at the third corner past the old library sunset tomorrow.,0.08333333333333333,88.32574462890625
A,bandpass,-18.0,ambient,"ambient pad, ethereal, slow, atmospheric",2,the encryption key is alpha bravo seven nine delta echo two zero,the encryption key is also Bravo 7-9 Delta Echo 2-0.,0.4166666666666667,79.55901336669922
A,bandpass,-18.0,classical,"classical string quartet, baroque style, 80 bpm",0,the quick brown fox jumps over the lazy dog near the river bank,"Click Brown prayers Geoff Norton, lift the And the river band..",0.7692307692307693,26.573246002197266
A,bandpass,-18.0,classical,"classical string quartet, baroque style, 80 bpm",1,meet at the third corner past the old library at sunset tomorrow,at the third quarter. I'm going to live for you. I'll be back tomorrow. I'm going to live for you.,1.4166666666666667,28.82486915588379
A,bandpass,-18.0,classical,"classical string quartet, baroque style, 80 bpm",2,the encryption key is alpha bravo seven nine delta echo two zero,I think earlier than I did the movie. The scripted MVP was halfpellated to celebrate the 4th attempt at highasures of the universe with the jar glass purple on it. They also have superb ape ensuring not to lose,3.1666666666666665,29.68993377685547
